"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","prob_corte","gen","fitness"
48,0.56,0.015,0.2,5,0.8,0.59,0.022,1,-56582400
3,0.55,0.057,0.4,3,0.6,0.5,0.02,1,3108000
31,0.58,0.338,0.1,2,0.4,0.58,0.019,1,1297200
24,0.57,0.11,0.6,7,0.8,0.55,0.022,1,4696200
22,0.58,0.257,0.6,2,0.5,0.6,0.024,1,3943800
47,0.57,0.348,0.5,2,0.7,0.57,0.022,1,3839100
44,0.52,0.262,0.1,5,0.5,0.59,0.028,1,2154900
19,0.53,0.302,0.4,2,0.9,0.5,0.027,1,3644700
37,0.57,0.151,0.2,4,0.2,0.55,0.019,1,3646200
5,0.6,0.218,0.6,2,0.7,0.58,0.024,1,4204800
22,0.52,0.257,0.6,2,0.5,0.6,0.022,2,4179900
28,0.57,0.11,0.6,7,0.8,0.55,0.024,2,4780800
22,0.6,0.218,0.6,2,0.7,0.58,0.024,2,3988500
21,0.58,0.257,0.6,2,0.5,0.6,0.024,2,3995700
24,0.57,0.11,0.6,7,0.8,0.55,0.022,2,4851000
22,0.58,0.257,0.8,2,0.5,0.6,0.024,2,3945000
22,0.58,0.257,0.6,2,0.5,0.6,0.024,2,4173900
24,0.51,0.257,0.6,2,0.5,0.6,0.022,3,4031100
22,0.56,0.11,0.6,7,0.8,0.55,0.022,3,4537800
22,0.57,0.03,0.6,2,0.5,0.55,0.022,3,4233300
28,0.52,0.11,0.6,7,0.8,0.6,0.024,3,4771800
28,0.57,0.11,0.6,7,0.8,0.55,0.024,3,4521000
10,0.57,0.11,0.6,7,0.8,0.55,0.022,3,4275000
24,0.57,0.11,0.6,7,0.8,0.55,0.022,3,4737900
24,0.52,0.11,0.6,7,0.8,0.51,0.022,4,4770900
28,0.57,0.11,0.6,7,0.4,0.55,0.024,4,4800900
22,0.56,0.127,0.6,7,0.8,0.55,0.022,4,4651200
24,0.57,0.11,0.6,7,0.8,0.54,0.022,4,4593900
22,0.57,0.11,0.8,7,0.8,0.55,0.022,4,4837500
24,0.56,0.11,0.6,7,0.8,0.56,0.022,4,4844700
22,0.56,0.11,0.6,7,0.8,0.55,0.022,4,4839600
24,0.57,0.11,0.6,7,0.8,0.55,0.022,4,4713600
22,0.56,0.11,0.6,2,0.8,0.55,0.022,5,4506600
22,0.57,0.11,0.8,7,0.8,0.6,0.022,5,4813500
24,0.56,0.11,0.6,7,0.8,0.55,0.028,5,4681200
22,0.56,0.11,0.6,7,0.8,0.56,0.017,5,4614600
24,0.57,0.11,0.8,7,0.8,0.55,0.022,5,4814100
22,0.56,0.11,0.6,7,0.8,0.51,0.022,5,4766700
22,0.57,0.11,0.8,7,0.8,0.55,0.022,5,4760100
24,0.56,0.11,0.6,7,0.8,0.56,0.022,5,4612200
24,0.57,0.11,0.8,7,0.3,0.6,0.022,6,4923900
8,0.57,0.11,0.8,7,0.8,0.55,0.022,6,4472700
22,0.56,0.11,0.6,7,0.8,0.57,0.022,6,4705500
22,0.57,0.11,0.8,4,0.8,0.6,0.022,6,4633200
24,0.57,0.11,0.8,7,0.8,0.52,0.022,6,4815600
22,0.57,0.11,0.8,7,0.8,0.5,0.022,6,4734000
22,0.57,0.11,0.8,7,0.8,0.6,0.022,6,4794000
24,0.57,0.11,0.8,7,0.8,0.55,0.022,6,4799700
24,0.57,0.11,0.8,7,0.8,0.52,0.028,7,4750200
24,0.55,0.11,0.8,7,0.3,0.6,0.022,7,4804200
24,0.57,0.11,0.8,5,0.8,0.6,0.022,7,4660500
24,0.57,0.11,0.8,2,0.3,0.52,0.022,7,4579500
24,0.57,0.11,0.6,7,0.3,0.6,0.022,7,4908600
24,0.57,0.333,0.8,7,0.8,0.52,0.022,7,4061700
24,0.57,0.11,0.8,7,0.3,0.6,0.022,7,4811100
24,0.57,0.11,0.8,7,0.8,0.52,0.022,7,4736100
24,0.57,0.11,0.3,7,0.3,0.6,0.022,8,4222800
24,0.57,0.11,0.6,3,0.3,0.6,0.022,8,4776900
24,0.57,0.11,0.8,7,0.3,0.6,0.025,8,4856700
24,0.56,0.11,0.8,7,0.3,0.6,0.022,8,4948800
24,0.55,0.11,0.8,7,0.3,0.6,0.022,8,4875300
24,0.57,0.11,0.8,7,0.3,0.6,0.022,8,4965300
24,0.55,0.11,0.1,7,0.3,0.6,0.022,9,3266700
24,0.56,0.201,0.8,7,0.3,0.6,0.022,9,4468200
24,0.59,0.11,0.8,7,0.3,0.6,0.022,9,4781700
24,0.57,0.11,0.3,7,0.3,0.6,0.022,9,4169400
24,0.56,0.11,0.8,7,0.3,0.6,0.025,9,4713900
41,0.55,0.11,0.8,7,0.3,0.6,0.022,9,4707000
24,0.56,0.11,0.8,7,0.3,0.6,0.022,9,4797600
24,0.55,0.11,0.8,7,0.3,0.6,0.022,9,4776600
24,0.59,0.11,0.8,7,0.3,0.6,0.022,10,4917300
24,0.55,0.11,0.8,7,0.4,0.6,0.022,10,4887600
24,0.59,0.11,0.8,7,0.3,0.59,0.022,10,4973700
24,0.56,0.11,0.8,7,0.4,0.6,0.022,10,4828500
4,0.56,0.11,0.8,7,0.3,0.6,0.022,10,4122600
24,0.55,0.11,0.8,7,0.3,0.6,0.03,10,4530600
24,0.55,0.11,0.8,7,0.3,0.6,0.022,10,4636500
24,0.56,0.11,0.8,7,0.3,0.6,0.022,10,4894500
50,0.56,0.11,0.8,7,0.3,0.6,0.022,11,4848900
49,0.59,0.11,0.8,7,0.3,0.59,0.022,11,4787400
24,0.59,0.11,0.8,5,0.3,0.59,0.022,11,4587300
45,0.59,0.11,0.8,7,0.3,0.6,0.022,11,4587000
24,0.59,0.11,0.8,7,0.3,0.6,0.024,11,4779300
24,0.56,0.11,0.4,7,0.3,0.6,0.022,11,4397400
24,0.59,0.11,0.8,7,0.3,0.6,0.022,11,4879800
24,0.56,0.11,0.8,7,0.3,0.6,0.022,11,4731600
50,0.59,0.11,0.8,7,0.3,0.56,0.022,12,4791900
49,0.56,0.11,0.8,2,0.3,0.59,0.022,12,4550400
41,0.59,0.11,0.8,7,0.3,0.6,0.022,12,4827000
24,0.59,0.11,0.8,7,0.3,0.59,0.024,12,4680000
49,0.59,0.098,0.8,7,0.3,0.59,0.022,12,4700100
42,0.59,0.11,0.8,7,0.3,0.6,0.022,12,4835400
24,0.59,0.11,0.8,7,0.3,0.6,0.022,12,4932900
49,0.59,0.11,0.8,7,0.3,0.59,0.022,12,4746000
42,0.59,0.11,0.8,7,0.3,0.6,0.022,13,4902900
24,0.59,0.296,0.8,7,0.3,0.6,0.022,13,4320000
24,0.59,0.094,0.8,7,0.3,0.6,0.022,13,4774200
41,0.59,0.11,0.8,7,0.9,0.6,0.022,13,4758900
24,0.59,0.11,0.8,7,0.3,0.6,0.024,13,4887600
42,0.59,0.11,0.8,7,0.6,0.6,0.022,13,4656300
24,0.59,0.11,0.8,7,0.3,0.6,0.022,13,4867200
24,0.59,0.096,0.8,7,0.3,0.6,0.024,14,4878900
24,0.59,0.11,0.8,7,0.5,0.6,0.022,14,4771500
42,0.59,0.403,0.8,7,0.3,0.6,0.022,14,3910500
24,0.59,0.11,0.8,7,0.3,0.6,0.024,14,4870200
7,0.59,0.11,0.8,7,0.3,0.6,0.022,14,4178400
42,0.59,0.11,0.8,7,0.3,0.6,0.022,14,4671600
43,0.59,0.11,0.8,7,0.5,0.6,0.022,15,4735200
24,0.59,0.11,0.8,3,0.3,0.6,0.024,15,4663200
24,0.59,0.122,0.8,7,0.3,0.6,0.024,15,4745100
24,0.64,0.096,0.8,7,0.3,0.6,0.024,15,4826700
24,0.59,0.096,0.8,3,0.3,0.6,0.024,15,4605300
24,0.59,0.11,0.8,7,0.6,0.6,0.024,15,4791600
24,0.59,0.11,0.8,7,0.3,0.6,0.024,15,4697100
24,0.59,0.096,0.8,7,0.3,0.6,0.024,15,4970700
24,0.64,0.11,0.7,7,0.6,0.6,0.024,16,4815300
24,0.59,0.096,0.8,7,0.3,0.6,0.023,16,4946100
24,0.64,0.11,0.8,7,0.6,0.6,0.024,16,4757400
38,0.59,0.096,0.8,7,0.6,0.6,0.024,16,4733700
43,0.59,0.11,0.8,7,0.6,0.6,0.024,16,4778400
9,0.59,0.096,0.8,7,0.3,0.6,0.024,16,4310400
24,0.59,0.096,0.8,7,0.3,0.6,0.024,16,4983000
24,0.59,0.11,0.8,7,0.6,0.6,0.024,16,4787700
24,0.59,0.096,0.8,7,0.3,0.6,0.017,17,4913100
24,0.64,0.11,0.7,3,0.6,0.6,0.024,17,4350000
24,0.59,0.096,0.8,7,0.3,0.6,0.02,17,4986900
24,0.59,0.096,0.8,7,0.3,0.61,0.023,17,4852200
24,0.62,0.096,0.8,7,0.3,0.6,0.023,17,5014200
24,0.59,0.006,0.8,7,0.3,0.6,0.024,17,-56582400
24,0.59,0.096,0.8,7,0.3,0.6,0.024,17,4887600
24,0.59,0.096,0.8,7,0.3,0.6,0.023,17,4894200
24,0.59,0.144,0.8,7,0.3,0.6,0.017,18,4745100
24,0.62,0.096,0.8,7,0.4,0.6,0.023,18,4861200
24,0.52,0.096,0.8,7,0.3,0.6,0.017,18,4830900
24,0.59,0.096,0.8,7,0.3,0.51,0.02,18,5038500
24,0.57,0.096,0.8,7,0.3,0.6,0.023,18,4914000
24,0.59,0.096,0.8,7,0.3,0.6,0.024,18,4873500
24,0.59,0.096,0.8,7,0.3,0.6,0.017,18,4899900
24,0.62,0.096,0.8,7,0.3,0.6,0.023,18,4887000
24,0.57,0.096,0.8,7,0.4,0.51,0.02,19,4811100
24,0.59,0.096,0.8,7,0.8,0.6,0.023,19,4995900
24,0.57,0.096,0.8,7,0.3,0.6,0.025,19,4870500
24,0.59,0.096,0.8,7,0.3,0.52,0.02,19,4864200
24,0.57,0.096,0.4,7,0.3,0.6,0.023,19,4579200
24,0.59,0.096,0.8,7,0.3,0.6,0.02,19,4739100
24,0.59,0.096,0.8,7,0.3,0.6,0.017,19,4903800
24,0.57,0.096,0.8,7,0.3,0.6,0.023,19,4754100
24,0.59,0.096,0.4,7,0.3,0.6,0.025,20,4485900
32,0.57,0.096,0.8,7,0.3,0.6,0.017,20,4864200
24,0.57,0.096,0.8,7,0.3,0.6,0.016,20,4773300
24,0.59,0.096,0.4,7,0.8,0.6,0.023,20,4547400
9,0.59,0.096,0.8,7,0.8,0.6,0.023,20,4406400
24,0.59,0.096,0.8,7,0.5,0.6,0.017,20,4767000
24,0.59,0.096,0.8,7,0.8,0.6,0.023,20,4772400
24,0.59,0.096,0.8,7,0.3,0.6,0.017,20,4767000
