"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","gen","fitness"
15,0.59,0.218,0.7,7,0.6,1,0.959083
12,0.55,0.08,0.6,2,0.3,1,0.949854
26,0.6,0.123,0.4,7,0.6,1,0.972099
3,0.57,0.053,0.5,4,0.6,1,0.884131
29,0.59,0.084,0.5,6,0.4,1,0.974137
16,0.56,0.112,0.4,4,0.9,1,0.965041
18,0.59,0.209,0.1,5,0.7,1,0.962658
7,0.6,0.103,0.5,7,0.9,1,0.919246
9,0.55,0.238,0.6,2,0.8,1,0.937935
6,0.58,0.186,0.3,3,0.6,1,0.910757
22,0.56,0.467,0.6,4,0.6,1,0.9714
7,0.58,0.193,0.4,5,0.3,1,0.919246
17,0.58,0.343,0.7,6,0.5,1,0.966634
26,0.57,0.41,0.3,4,0.5,1,0.972099
18,0.6,0.436,0.1,2,0.3,1,0.962658
19,0.59,0.491,0.5,3,0.9,1,0.966195
24,0.58,0.309,0.3,2,0.4,1,0.972833
9,0.56,0.327,0.5,6,0.6,1,0.937935
24,0.57,0.092,0.3,6,0.6,1,0.972833
11,0.58,0.421,0.3,3,0.8,1,0.950578
29,0.59,0.309,0.5,4,0.4,2,0.974137
24,0.58,0.084,0.3,2,0.4,2,0.972833
29,0.59,0.497,0.5,6,0.4,2,0.974137
24,0.58,0.084,0.4,2,0.4,2,0.972833
29,0.58,0.084,0.8,6,0.4,2,0.974137
24,0.59,0.144,0.3,2,0.4,2,0.972833
18,0.59,0.084,0.5,2,0.4,2,0.962658
24,0.58,0.309,0.3,6,0.4,2,0.972833
29,0.59,0.084,0.5,4,0.4,2,0.974137
24,0.57,0.309,0.3,2,0.4,2,0.972833
29,0.59,0.084,0.5,6,0.4,2,0.974137
24,0.58,0.309,0.3,2,0.4,2,0.972833
29,0.59,0.497,0.5,4,0.4,3,0.974137
29,0.59,0.309,0.5,2,0.4,3,0.974137
29,0.59,0.309,0.4,6,0.4,3,0.974137
29,0.59,0.309,0.8,4,0.4,3,0.974137
29,0.59,0.144,0.5,6,0.4,3,0.974137
18,0.59,0.309,0.5,6,0.4,3,0.962658
29,0.59,0.497,0.3,4,0.4,3,0.974137
29,0.59,0.309,0.5,4,0.4,3,0.974137
29,0.57,0.497,0.5,6,0.4,3,0.974137
29,0.59,0.497,0.5,6,0.4,3,0.974137
29,0.59,0.309,0.5,4,0.4,4,0.974137
29,0.59,0.497,0.5,2,0.4,4,0.974137
29,0.59,0.497,0.5,4,0.4,4,0.974137
29,0.59,0.497,0.4,2,0.4,4,0.974137
29,0.59,0.497,0.8,4,0.4,4,0.974137
29,0.59,0.144,0.5,2,0.4,4,0.974137
18,0.59,0.497,0.5,2,0.4,4,0.962658
29,0.59,0.309,0.3,4,0.4,4,0.974137
29,0.57,0.309,0.5,2,0.4,4,0.974137
29,0.59,0.309,0.5,2,0.4,4,0.974137
29,0.59,0.497,0.5,4,0.4,5,0.974137
29,0.59,0.309,0.5,2,0.4,5,0.974137
29,0.59,0.309,0.4,2,0.4,5,0.974137
29,0.59,0.309,0.8,4,0.4,5,0.974137
29,0.59,0.144,0.5,2,0.4,5,0.974137
18,0.59,0.309,0.5,2,0.4,5,0.962658
29,0.59,0.497,0.3,4,0.4,5,0.974137
29,0.59,0.309,0.5,4,0.4,5,0.974137
29,0.57,0.497,0.5,2,0.4,5,0.974137
29,0.59,0.497,0.5,2,0.4,5,0.974137
29,0.59,0.309,0.5,4,0.4,6,0.974137
29,0.59,0.497,0.5,2,0.4,6,0.974137
29,0.59,0.497,0.5,4,0.4,6,0.974137
29,0.59,0.497,0.4,2,0.4,6,0.974137
29,0.59,0.497,0.8,4,0.4,6,0.974137
29,0.59,0.144,0.5,2,0.4,6,0.974137
18,0.59,0.497,0.5,2,0.4,6,0.962658
29,0.59,0.309,0.3,4,0.4,6,0.974137
29,0.57,0.309,0.5,2,0.4,6,0.974137
29,0.59,0.309,0.5,2,0.4,6,0.974137
29,0.59,0.497,0.5,4,0.4,7,0.974137
29,0.59,0.309,0.5,2,0.4,7,0.974137
29,0.59,0.309,0.4,2,0.4,7,0.974137
29,0.59,0.309,0.8,4,0.4,7,0.974137
29,0.59,0.144,0.5,2,0.4,7,0.974137
18,0.59,0.309,0.5,2,0.4,7,0.962658
29,0.59,0.497,0.3,4,0.4,7,0.974137
29,0.59,0.309,0.5,4,0.4,7,0.974137
29,0.57,0.497,0.5,2,0.4,7,0.974137
29,0.59,0.497,0.5,2,0.4,7,0.974137
29,0.59,0.309,0.5,4,0.4,8,0.974137
29,0.59,0.497,0.5,2,0.4,8,0.974137
29,0.59,0.497,0.5,4,0.4,8,0.974137
29,0.59,0.497,0.4,2,0.4,8,0.974137
29,0.59,0.497,0.8,4,0.4,8,0.974137
29,0.59,0.144,0.5,2,0.4,8,0.974137
18,0.59,0.497,0.5,2,0.4,8,0.962658
29,0.59,0.309,0.3,4,0.4,8,0.974137
29,0.57,0.309,0.5,2,0.4,8,0.974137
29,0.59,0.309,0.5,2,0.4,8,0.974137
29,0.59,0.497,0.5,4,0.4,9,0.974137
29,0.59,0.309,0.5,2,0.4,9,0.974137
29,0.59,0.309,0.4,2,0.4,9,0.974137
29,0.59,0.309,0.8,4,0.4,9,0.974137
29,0.59,0.144,0.5,2,0.4,9,0.974137
18,0.59,0.309,0.5,2,0.4,9,0.962658
29,0.59,0.497,0.3,4,0.4,9,0.974137
29,0.59,0.309,0.5,4,0.4,9,0.974137
29,0.57,0.497,0.5,2,0.4,9,0.974137
29,0.59,0.497,0.5,2,0.4,9,0.974137
29,0.59,0.309,0.5,4,0.4,10,0.974137
29,0.59,0.497,0.5,2,0.4,10,0.974137
29,0.59,0.497,0.5,4,0.4,10,0.974137
29,0.59,0.497,0.4,2,0.4,10,0.974137
29,0.59,0.497,0.8,4,0.4,10,0.974137
29,0.59,0.144,0.5,2,0.4,10,0.974137
18,0.59,0.497,0.5,2,0.4,10,0.962658
29,0.59,0.309,0.3,4,0.4,10,0.974137
29,0.57,0.309,0.5,2,0.4,10,0.974137
29,0.59,0.309,0.5,2,0.4,10,0.974137
